id,source,area,number,text,option1,option2,option3,option4,correct,rationale
e1-q14,exam1,area3,14,The California Building Code specifies that non-load bearing partitions are to be isolated from the structural system by which of the following?,Compression struts,Slip tracks,Deflection isolators,Flex clips,2,Slip tracks accommodate structural floor/roof deflection without imposing vertical loads onto interior partitions[cite: 2].
e1-q15,exam1,area4,15,Provisions for which of the following building functions or building components are included in Chapter 11B of the California Building Code?,Mechanical Access Parking Garage,Teletypewriter (TTY),Electric Vehicle Charging Station (EVCS),Destination-oriented Elevator,3,Section 11B-228 of the CBC contains extensive California-specific standards for Electric Vehicle Charging Stations (EVCS)[cite: 2].
e1-q16,exam1,area4,16,"According to the California Building Code when you have two exit stairs required to be separated by at least half the floor diagonal, how is this distance measured?",From the center point of the doorway of the stair enclosure to the center point of the doorway of the other stair enclosure,From any point along the doorway of the stair enclosure to any point along the doorway of the other stair enclosure,From the center point of the first riser of the exit access stairway to the center point of the first riser of the other exit access stairway,The distance between the closest risers of the exit access stairways,4,"For exit access stairways, measurement is taken between the closest risers of the respective stairs[cite: 2]."
e1-q17,exam1,area4,17,A third exit stair is required for which of the following?,A high-rise building with occupied floors above the height of 120 ft.,A high-rise building with occupied floors above the height of 240 ft.,A high-rise building with occupied floors above the height of 420 ft.,A high-rise building with occupied floors above the height of 600 ft.,3,CBC Section 403 requires buildings with occupied floors greater than 420 feet in height to provide an additional exit stairway[cite: 2].
e1-q18,exam1,area3,18,Which of the following is NOT regulated by the California Energy Code (Title 24 Part 6)?,Indoor lighting systems,Outdoor lighting systems,Signs located either indoors or outdoors,"None of the above, they are all regulated",4,"All three categories (indoor lighting, outdoor lighting, and signs) are strictly regulated under the California Energy Code[cite: 2]."
e1-q19,exam1,area4,19,"According to the Retail Food Code, floor drains are required in food facilities with which of the following conditions?",In areas where the floors are water-flushed for cleaning,In areas with ceramic tile floors,In lieu of a grease trap,In areas where the floor surfaces are less than 1:50 in slope,1,Floor drains are required in food preparation facilities where floors are cleaned by water-flushing[cite: 2].
e1-q20,exam1,area5,20,"Which of the following are required to file a Preliminary 20-Day Notice in order to preserve their right to record a Mechanic's Lien?
A. Prime Contractor
B. Sub-Contractor
C. Material Supplier
D. Architect (Direct Contract)",A and B,B and C,"A, B and C",All of the above,2,Claimants without direct contractual relationships to the owner (subcontractors and material suppliers) must serve a Preliminary 20-Day Notice[cite: 2].
e1-q21,exam1,area3,21,Which of the following are required by the California Hospital Facilities Seismic Safety Act to meet seismic standards?,All new acute care in-patient hospitals,All acute care in-patient hospitals (new and existing),All acute care in-patient hospitals constructed prior to 1994,All acute care in-patient hospitals more than 2 stories and other than type V construction,2,"The Alfred E. Alquist Hospital Facilities Seismic Safety Act applies to all acute care in-patient hospitals, requiring both new and existing structures to comply[cite: 2]."
e1-q22,exam1,area2,22,The Field Act applies to which of the following?,All public schools except charter schools,All public schools,All public schools and community colleges,"All public schools, community colleges, University of California and California State University buildings",3,The Field Act covers public elementary and secondary schools (K-12) and community colleges under DSA jurisdiction[cite: 2]. (UC/CSU are not subject to the Field Act)[cite: 2].
e1-q23,exam1,area1,23,"The Architects Practice Act requires licensees to report to the California Architects Board any civil action judgments, settlements, or arbitration awards of which amount?","$1,000 or greater","$2,000 or greater","$5,000 or greater","$10,000 or greater",3,"B&P Code § 5588 requires reporting settlements or judgments of $5,000 or greater within 30 days[cite: 2]."
e1-q24,exam1,area1,24,Which of the following is a condition where the Architect is NOT required to have a written contract with the Client?,The Architect is designing a townhouse in a development he had designed an identical townhouse for the mother of his client,The Architect is designing a post office for the US Postal Service which he had designed a similar post office for elsewhere,The Architect is designing a fast food restaurant for a national chain which he had designed a storage facility for previously,The Architect is designing a chain retail store in a mall for a national chain which he had designed an identical store for previously,4,B&P Code § 5536.22 exempts architectural services of the same general kind which the architect has previously rendered to and received payment from the same client[cite: 2].
e1-q25,exam1,area1,25,"According to the Architects Practice Act, which of the following actions by an unlicensed individual qualifies as practicing architecture without a license?",Use a stamp that bears the legend 'Building Designer',Make claim on a resume of having many years of architectural experience,Tell a friend that he/she is an architect,Distribute business cards that bear the title 'Architectural Designer',1,Using professional-style stamps or holding out as an architect/building designer in commercial practice is prohibited[cite: 2].
e1-q26,exam1,area1,26,Which of the following represents the exempt residential project under the California Architects Practice Act?,"Multiple dwellings with no more than 4 dwelling units of wood frame construction, not more than 2 stories and a basement in height","Multiple dwellings with no more than 3 dwelling units of wood frame construction, not more than 2 stories and a basement in height","Multiple dwellings with no more than 4 dwelling units of wood frame construction, not more than 3 stories and a basement in height","Multiple dwellings with no more than 3 dwelling units of wood frame construction, not more than 3 stories and a basement in height",1,"B&P Code § 5537 exempts multi-family dwellings of no more than 4 units of wood frame construction, not more than 2 stories and basement[cite: 2]."
e1-q27,exam1,area1,27,Which of the following is NOT a rule of professional conduct in the California Code of Regulations Title 16?,"An architect shall only accept work that he/she is qualified to perform by education, training, and experience",An architect shall exercise responsible control when practicing architecture,"In designing a project, an architect shall have knowledge of all applicable building laws, codes, and regulations","Whenever the Board is conducting an investigation, an architect is required to respond within 30 days",2,"The standard of care rule states an architect shall exercise reasonable skill and care[cite: 2]. 'Responsible control' is a statutory definition for sealing documents, not phrased as this conduct rule[cite: 2]."
e1-q28,exam1,area1,28,Which of the following acts governs professional corporations in California?,Brown Reagan Professional Corporation Act,Deukmejian Wilson Professional Corporation Act,Davis Schwarzenegger Professional Corporation Act,Moscone Knox Professional Corporation Act,4,The Moscone-Knox Professional Corporation Act (CA Corp Code § 13400) governs professional corporations[cite: 2].
e1-q29,exam1,area2,29,Variances are typically granted for properties to allow for which of the following?,"Special uses not enjoyed by nearby, similarly zoned land",The sub-division of a property,The development of a property beyond the strict physical requirements of zoning regulations,Relaxation of design guidelines that supplements zoning control,3,"A variance allows waiver of physical development standards (setbacks, height, FAR) due to site hardship, but NEVER allows a use variance in California[cite: 2]."
e1-q30,exam1,area4,30,Which of the following is true of the accessibility provisions of the California Building Code and the ADA Standards?,The 2 documents are exactly the same,The 2 documents are different because the state amended provisions to make many requirements more stringent,The 2 documents are different because the state excluded housing,The state never adopted ADA guidelines,2,"Meeting CBC Chapter 11B satisfies ADA, but meeting federal ADA alone does not ensure California compliance, as CBC contains more stringent requirements[cite: 2]."
e1-q31,exam1,area2,31,Which of the following is the document issued by the FAA in response to proposed developments adjacent to airport facilities?,Aviation Advisory Circular,Letter of Permission,Non-Obstruction Permit,Airspace Determination,1,Advisory Circulars and official determinations address obstructions to navigable airspace[cite: 2].
e1-q32,exam1,area2,32,Which of the following is the environmental study document required per the National Environmental Policy Act (NEPA)?,Environmental Impact Study,Environmental Impact Statement (EIS),Environmental Impact Survey,Environmental Impact Summary,2,"Under federal NEPA, an Environmental Impact Statement (EIS) is prepared (as opposed to an EIR under California CEQA)[cite: 2]."
e1-q33,exam1,area3,33,Which of the following is an organization that develops consensus standards for construction materials and systems?,Underwriters Laboratories (UL),Factory Mutual (FM),American Society for Testing and Materials (ASTM),Warnock Hersey (WH),3,ASTM develops material and test standards; UL and Warnock Hersey are primarily testing and certifying laboratories[cite: 2].
e1-q34,exam1,area3,34,AISC 360 is a national design standard for which of the following?,Wood,Concrete,Masonry,Steel,4,AISC is the American Institute of Steel Construction[cite: 2].
e1-q35,exam1,area2,35,Which local agency is designated as a California Certified Unified Program Agency (CUPA)?,Local Building Department,Local Fire Department,Local Public Works Department,Local Environmental Health Department,2,Local Fire Departments (or Environmental Health Departments in some counties) serve as the CUPA for hazardous materials programs[cite: 2].
e1-q36,exam1,area2,36,Which of the following is NOT a responsibility of Regional Water Quality Control Boards (RWQCB)?,Certifies operators of wastewater treatment facilities,Prescribe Waste Discharge Requirements (WDRs) for each discharge of waste,Cleanup unauthorized discharges into groundwater under Site Clean-Up Program,Implement BMPs to control pollutants in stormwater,1,"Operator certification is handled at the State Water Resources Control Board level, not the Regional Boards[cite: 2]."
e1-q37,exam1,area2,37,"In addition to the San Francisco Bay Conservation and Development Commission, which of the following regions has a regional planning authority?",Death Valley,Yosemite,Lake Tahoe Basin,Big Sur,3,The Tahoe Regional Planning Agency (TRPA) is a bi-state regional environmental planning authority[cite: 2].
e1-q38,exam1,area2,38,The Water Resources Control Board protects water quality by administering programs for which of the following?,"Toxic Cleanup, Waste Disposal, and Storm Water","Toxic Cleanup, Waste Disposal, and Recycling","Toxic Cleanup, Storm Water, and Recycling",All of the above,4,"The SWRCB regulates toxic cleanup, waste disposal, stormwater permits, and water recycling[cite: 2]."
e1-q39,exam1,area2,39,Which federal agency is NOT under the jurisdiction of the GSA and permits its own building construction projects?,Environmental Protection Agency,Department of Housing and Urban Development,Federal Courts System,Veterans Affairs Administration,4,"The VA has independent statutory authority to design, permit, and construct its own facilities[cite: 2]."
e1-q40,exam1,area2,40,A Standard Permit issued by the U.S. Army Corps of Engineers is for which of the following?,Projects approved on an accelerated timeline,Projects with more than minimal individual or cumulative impact on aquatic resources,Projects with minimal impact on aquatic resources,Projects with no impact on aquatic resources,2,Standard Individual Permits are required for projects that cause more than minimal impacts on waters of the US (as opposed to Nationwide / General Permits)[cite: 2].
e1-q41,exam1,area2,41,"During the CEQA process, how is the Lead Agency determined when multiple public agencies are involved?","Typically, the agency that provides utility services","Typically, the agency with a single regulatory purpose","Typically, the agency with general governmental powers such as a city or a county",The Owner selects the lead agency,3,"Under CEQA Guidelines § 15051, the agency with broader governmental powers (such as a city or county) acts as the Lead Agency[cite: 2]."
e1-q42,exam1,area2,42,Which agency is responsible for providing CEQA implementation guidelines and operating the State Clearinghouse?,California State Clearing Board,Environmental Review Coordination Board,California Unified Program Agency,Governor's Office of Planning and Research (OPR),4,OPR develops CEQA guidelines and operates the State Clearinghouse for state-level environmental review[cite: 2].
e1-q43,exam1,area2,43,Typically what happens when there are conflicting requirements between different applicable codes and regulations?,The more restrictive applies,The agency having jurisdiction will decide,Architect can choose,The less restrictive applies,1,"Standard code hierarchy principles state that where conflicts occur, the most restrictive requirement governs[cite: 2]."
e1-q44,exam1,area3,44,Which of the following is a responsibility of the civil engineer during Schematic Design?,Prepare boundary surveys,Prepare preliminary parking layouts,Prepare preliminary irrigation plans,Prepare stormwater pollution prevention plans,4,Civil engineers develop preliminary stormwater drainage and SWPPP strategies; boundary surveys are provided by the Owner's surveyor[cite: 2].
e1-q45,exam1,area2,45,Which of the following consultants typically produces drawings for municipal planning review?,Landscape Architect,Acoustical Engineer,Structural Engineer,Lighting Designer,1,"Landscape architects prepare site landscape and planting schemes, which are standard submittals for Planning / Design Review Boards[cite: 2]."
e1-q46,exam1,area1,46,"The Owner has provided you with the scope, budget, and schedule. What additional item do you need to begin Schematic Design?",Geotechnical engineer report,"Tests, inspections, and reports required by law",Site survey,Information in regards to lien rights,3,A verified site boundary and topographic survey is necessary to orient and configure the building footprint during SD[cite: 2].
e1-q47,exam1,area2,47,What does your local planning department do after a date has been set for your presentation to the Planning Commission?,Issue a Notice of Preparation,Notify owners and residents within a specified radius of the project site so they can comment,Notify all responsible agencies to solicit comments,Submit your project to the state OPR,2,Public hearing notices are mailed to surrounding property owners and occupants (typically within a 300 to 500-foot radius)[cite: 2].
e1-q48,exam1,area2,48,Typically when is a project submitted to the planning department for design and environmental review?,Schematic Design Phase,Design Development Phase,Construction Document Phase,Bid and Negotiation Phase,1,Planning entitlements and environmental reviews are best submitted during Schematic Design before spending substantial fees detailing in DD or CD[cite: 2].
e1-q49,exam1,area3,49,Which of the following milestones are recommended times to exchange progress sets with consultants for interdisciplinary coordination?,"90% SD, 50% DD, 90% DD, 50% CD and 90% CD","50% DD, 90% DD, 50% CD, 75% CD and 90% CD","50% DD, 90% DD, 50% CD and 90% CD","90% DD, 50% CD and 90% CD",3,"50% DD, 90% DD, 50% CD, and 90% CD provide balanced coordination gates across design development and construction documents[cite: 2]."
e1-q50,exam1,area1,50,"Which of the following are methods that architectural firms typically use in their quality control process?
A. The use of Project Checklists
B. The use of updated Standard Details
C. The use of Masterspec",A,B,A and B,All of the above,3,Checklists and office standard details are internal QC systems[cite: 2]. Masterspec is simply a third-party starting master; it does not in itself constitute firm QA/QC[cite: 2].
e1-q51,exam1,area1,51,Which of the following is the best thing that an Architect can do to address the issue of Standard of Care with the client?,Explain that the architect cannot be expected to do a perfect job,Include a contractual definition of standard of care,Have the client include contingencies in his/her budget,Obtain Professional Liability Insurance,3,Educating the client to maintain realistic design/construction contingencies aligns expectations with the legal reality that perfection is not required[cite: 2].
e1-q52,exam1,area3,52,Your client wants significant amounts of glazing for a panoramic view house. What structural framing system is most appropriate?,Steel Frame,Timber Frame (Heavy Timber),Platform Frame,Balloon Frame,2,Heavy timber/post-and-beam allows wide spans and large unobstructed glazed openings without the prohibitive cost of structural steel[cite: 2].
e1-q53,exam1,area4,53,"According to CALGreen (Title 24 Part 11), what document is required to be submitted for permit?",Construction Debris Recycle Program,Energy Management Plan,Water Consumption Program,Construction Waste Management Plan,4,CALGreen requires a Construction Waste Management Plan documenting diversion of at least 65% of nonhazardous C&D waste[cite: 2].
e1-q54,exam1,area4,54,"According to CBC Chapter 17, what is required to be submitted to the building official for permit application?",Reports of Structural Integrity,Statement of Special Inspections prepared by the registered design professional,Structural Calculations only,Soils reports only,2,Chapter 17 requires the design professional in responsible charge to prepare and submit a Statement of Special Inspections[cite: 2].
e1-q55,exam1,area3,55,A 'trapeze' hanger system is typically used to support and seismic-brace which of the following?,Piping and conduits,Suspended lighting fixtures,Tall bookcases,Photovoltaics on rooftops,1,"Trapeze hangers (unistrut with threaded rods) support horizontal conduits, ducts, and pipe runs[cite: 2]."
e1-q56,exam1,area3,56,Which lateral force-resisting system resists shear forces primarily through axial tension and compression?,Braced Frame,Moment Frame,Space Frame,Waffle Slab,1,Braced frames resist lateral loads through axial tension and compression in diagonal members[cite: 2].
e1-q57,exam1,area3,57,"Which of the following are recognized categories of automated building energy management controls?
A. Energy Optimization Systems
B. Time-of-day Scheduling Systems
C. Temperature/Time Optimization Systems
D. Demand Control Systems","A, B and C","A, B and D","A, C and D","B, C and D",4,"Time scheduling, setback optimization, and demand control ventilation/load shedding are standard energy management techniques[cite: 2]."
e1-q58,exam1,area3,58,"According to passive thermal zoning principles, internal heat-generating 'hot zones' (such as commercial kitchens) should ideally be located along which exposure?",North,East,South,West,1,Placing internal heat-generating spaces on the north (cool) side reduces overall cooling loads by avoiding additional solar heat gain[cite: 2].
e1-q59,exam1,area4,59,"Under CSI MasterFormat, in which division are clock and program systems specified?",10 00 00 - Specialties,11 00 00 - Equipment,12 00 00 - Furnishings,13 00 00 - Special Construction,1,Clock systems and signages fall under Division 10 (Specialties)[cite: 2].
e1-q60,exam1,area5,60,"Cost estimates show a project on budget, but the Owner has strict funding and insists on a guarantee that contractor bids will not exceed budget. What should you do?",Agree to guarantee only for an additional fee,Tell the Owner to carry contingencies through bidding,"Explain that architects cannot guarantee bids, and help identify additive/deductive bid alternates",Lower unit cost estimates,3,Architects cannot guarantee bids because they do not control contractor market pricing[cite: 2]. Incorporating bid alternates gives the owner budget flexibility[cite: 2].
e1-q61,exam1,area5,61,Public works projects in California are required to be advertised for bids in newspapers/trade publications in which manner?,Twice a week for at least 1 week,Once a week for at least 2 weeks,Twice a week for at least 2 weeks,Once a week for at least 3 weeks,2,California Public Contract Code requires notice inviting bids published once a week for at least two consecutive weeks[cite: 2].
e1-q62,exam1,area5,62,"Which of the following must the Owner furnish to the Contractor under AIA A201?
A. Financial information regarding lien rights
B. Legal description and site survey
C. Special inspection and testing services",A and B,B and C,"A, B and C","A, B and D",3,"Under A201 and California codes, the Owner provides site surveys, financial evidence, and directly contracts independent testing/special inspection agencies[cite: 2]."
e1-q63,exam1,area5,63,Which of the following architectural actions constitutes an official interpretation of the Contract Documents?,Responding to Requests for Information (RFIs),Issuing Architect's Supplemental Instructions (ASIs),Issuing Work Change Proposal Requests,All of the above,1,"Responding to an RFI interprets the existing drawings/specifications[cite: 2]. ASIs order minor changes, and proposal requests initiate potential changes[cite: 2]."
e1-q64,exam1,area1,64,Which of the following is true regarding mediation versus arbitration?,Mediation is non-binding,Arbitration is non-binding,Both are non-binding,Both are binding,1,"Mediation is a non-binding facilitated negotiation[cite: 2]. Arbitration results in a final, legally binding award[cite: 2]."
e1-q65,exam1,area5,65,Under what circumstance will an Architect issue an Architect's Supplemental Instruction (ASI)?,To order a minor change in the work not involving adjustment in Contract Sum or Contract Time,To provide the Contractor with instructions on means and methods,To supplement information after a Construction Change Directive has been issued,To supersede local code approvals,1,AIA Document G710 (ASI) is used to direct minor changes in the work that do not alter contract sum or time[cite: 2].
e1-q66,exam1,area5,66,"If the Architect discovers evidence that the work cannot be completed for the unpaid contract balance, per AIA A201 the Architect has the right to do what?",Recommend that Owner terminate Contract immediately,Suggest Owner hire another contractor to complete work,Nullify or withhold the whole or part of a Certificate for Payment,File an immediate mechanic's lien on behalf of the owner,3,A201 § 9.5 allows the architect to withhold or nullify a Certificate for Payment to protect the owner from loss[cite: 2].
e1-q67,exam1,area5,67,What is the Contractor's responsibility regarding special inspections during construction?,Submit statement of special inspection to the building official,Employ and pay special inspectors directly,File weekly inspector reports to DSA,Provide access and keep records of all special inspections on the job site,4,"The owner contracts the special inspector, while the contractor coordinates access and keeps copies of records on site[cite: 2]."
e1-q68,exam1,area4,68,"When conducting an inspection for a Certificate of Occupancy, which of the following is NOT an inspection item for the Fire Marshal?",Fire rated doors and hardware,Posted occupancy load signage,Lighting occupancy sensors,Fire alarms and strobes,3,"Lighting occupancy sensors are an Energy Code (Title 24 Part 6) / electrical inspection item, not life-safety within the Fire Marshal's scope[cite: 2]."
e1-q69,exam1,area5,69,Which of the following does NOT happen at Substantial Completion?,"Owner assumes responsibility for security, utilities, and insurance",Contractor submits Consent of Surety for final payment,Notice of Completion can be recorded by the Owner,Warranties and punch lists commence,2,"Consent of Surety (AIA G707) is submitted at Final Payment / Final Completion, not at Substantial Completion[cite: 2]."
e1-q70,exam1,area5,70,What is the California Statute of Limitations for bringing legal action against design professionals for patent (visible/apparent) construction defects?,4 years,8 years,10 years,No statute of limitations,1,California Code of Civil Procedure § 337.1 establishes a 4-year statute of limitations for patent defects (latent defects have a 10-year limit under § 337.15)[cite: 2].
e2-q1,exam2,area3,1,The term 'Zone of Intermittent Saturation' refers to which of the following?,The watershed of a seasonal stream or creek,The part of a wetland area that serves as storage for storm water runoff,The subsurface area between the level of summer and winter water table,The subsurface area from grade level to the water table,3,The zone of intermittent saturation is the subsurface soil layer between the lowest seasonal water table (dry/summer) and highest water table (wet/winter)[cite: 1].
e2-q2,exam2,area3,2,What is soil liquefaction?,The mixing of saturated cohesionless sand or soil that loses shear strength during earthquake ground shaking,The loosening of top soil during heavy rain,The erosion of bedrock due to capillary action of subsurface drainage,The contamination of underground aquifers by hazardous materials,1,"Liquefaction occurs when loose, saturated granular soils lose strength and stiffness due to increased pore water pressure during seismic shaking[cite: 1]."
e2-q3,exam2,area3,3,Which of the following is a naturally occurring radioactive indoor air pollutant?,Lead,Formaldehyde,Radon,Asbestos,3,"Radon is an odorless, naturally occurring radioactive gas produced by the radioactive decay of uranium in soil and rock[cite: 1]."
e2-q4,exam2,area1,4,Which of the following is an effective method to ensure ongoing user involvement in an architectural project?,Form a steering committee with representatives from key user groups,Keep users informed by giving presentations at every project milestone,Conduct one-time user surveys,Organize social gatherings and invite users,1,"Forming a steering committee with representatives from key user groups provides active, continuous participation in decision-making[cite: 1]."
e2-q5,exam2,area1,5,"Which of the following are recognized methods an architect can use to uncover stakeholder expectations?
A. Charrettes
B. Focus Groups
C. Opinion surveys
D. Direct Observations","A, B and C","A, C and D","B, C and D",All of the above,4,"Different stakeholder groups respond to different discovery methods; charrettes, focus groups, surveys, and site observations are all effective[cite: 1]."
e2-q6,exam2,area3,6,Which of the following is NOT a recognized LEED professional credential awarded by GBCI?,LEED Green Associate,LEED Authorized Professional,LEED Commissioning Engineer,LEED Fellow,3,"LEED Commissioning Engineer is not a GBCI credential[cite: 1]. Recognized credentials are LEED GA, LEED AP (with specialty), and LEED Fellow[cite: 1]."
e2-q7,exam2,area1,7,"In addition to adjacency, what other spatial relationships can typically be shown in Bubble Diagrams?
A. Circulation connections between spaces
B. Spaces that require acoustic privacy
C. Spaces that require future flexibility
D. Spaces that require physical separation with intervening buffers","A, B and C","A, B and D","B, C and D",All of the above,2,"Circulation paths, acoustic separation, and physical barriers can be drawn graphically[cite: 1]. Flexibility is programmatic and difficult to represent in a bubble diagram[cite: 1]."
e2-q8,exam2,area1,8,"When putting together a feasibility study for a retail shopping mall, which of the following is the most critical factor that determines economic viability?",Zoning regulations,Construction cost,Infrastructure,Demographics,4,"For commercial retail projects, surrounding demographics and buying power dictate whether sufficient customer volume exists to support the center[cite: 1]."
e2-q9,exam2,area2,9,Identify the correct sequential workflow of CEQA environmental documentation:,Initial Study -> Notice of Determination -> Notice of Exemption -> Negative Declaration,Notice of Exemption (if applicable) -> Initial Study -> Negative Declaration -> Notice of Determination,Notice of Determination -> Initial Study -> Negative Declaration -> Notice of Exemption,Initial Study -> Notice of Exemption -> Notice of Determination -> Negative Declaration,2,"The lead agency first determines if an exemption applies (NOE)[cite: 1]. If not exempt, it conducts an Initial Study; if no significant impacts, it drafts a Neg Dec, and finally files a Notice of Determination (NOD)[cite: 1]."
e2-q10,exam2,area3,10,Which of the following is classified as an Essential Services Building under California law?,A California Highway Patrol Station,A general acute hospital,A public high school,A regional office of FEMA,1,"Under the Essential Services Buildings Seismic Safety Act, CHP stations, fire stations, police stations, and emergency operations centers are included[cite: 1]. (Hospitals are governed by OSHPD/HCAI; FEMA is federal)[cite: 1]."
e2-q11,exam2,area4,11,"According to the California Building Code, what is the minimum floor area requirement for an Efficiency Dwelling Unit?",220 sq. ft.,240 sq. ft.,300 sq. ft.,320 sq. ft.,1,CBC Section 1208 requires efficiency dwelling units to have a living room of not less than 220 sq. ft.[cite: 1] (or 150 sq. ft. in specific jurisdictions adopting local micro-unit amendments).
e2-q12,exam2,area4,12,"According to the California Building Code, what is the minimum size requirement for a Fire Service Access Elevator (FSAE) lobby?",120 sq. ft. in size and 8 ft. minimum each side,120 sq. ft. in size and 10 ft. minimum each side,150 sq. ft. in size and 8 ft. minimum dimension,150 sq. ft. in size and 10 ft. minimum dimension,3,CBC Section 3007 specifies the FSAE lobby must be not less than 150 sq. ft. with a minimum dimension of 8 feet[cite: 1].
e2-q13,exam2,area3,13,"As per the structural requirements of the California Building Code, Risk Category (Occupancy Category) IV includes which structures?",Buildings and structures designated as essential facilities,Buildings that represent a substantial hazard to human life in event of failure,Buildings that represent a moderate hazard to human life,Buildings that represent a low hazard to human life,1,"Category IV structures are designated essential facilities (police, fire, emergency communications, designated disaster shelters)[cite: 1]."
e2-q14,exam2,area4,14,"According to CBC Chapter 11B, in a multi-compartment restroom, an additional 36-inch wide ambulatory accessible stall is required under which condition?",For every 8 water closets,For every 8 fixtures including combinations of urinals and water closets,For every 6 water closets,Where 6 or more water closets and urinals are provided in the room,4,CBC 11B-213.3.1 requires an ambulatory accessible compartment when six or more water closets and urinals combined are installed[cite: 1].
